"pangkat_id","gol_ruang","pangkat","kode_bkn","kode_kemendagri"
"1","I/a","Juru Muda","11","111"
"2","I/b","Juru Muda Tingkat I","12","112"
"3","I/c","Juru","13","113"
"4","I/d","Juru Tingkat I","14","114"
"5","II/a","Pengatur Muda","21","121"
"6","II/b","Pengatur Muda Tingkat I","22","122"
"7","II/c","Pengatur","23","123"
"8","II/d","Pengatur Tingkat I","24","124"
"9","III/a","Penata Muda","31","131"
"10","III/b","Penata Muda Tingkat I","32","132"
"11","III/c","Penata","33","133"
"12","III/d","Penata Tingkat I","34","134"
"13","IV/a","Pembina","41","141"
"14","IV/b","Pembina Tingkat I","42","142"
"15","IV/c","Pembina Utama Muda","43","143"
"16","IV/d","Pembina Utama Madya","44","144"
"17","IV/e","Pembina Utama","45","145"
